n = 59
taille = 806
Mat = [0 1 1;
0 2 1;
0 3 1;
0 4 1;
0 5 1;
0 6 1;
0 7 1;
0 8 1;
0 9 1;
0 10 0.838709677419355;
0 11 0.666666666666667;
0 21 1;
0 29 1;
0 30 1;
0 31 0.878787878787879;
0 36 1;
0 37 1;
0 38 1;
0 39 0.941176470588235;
0 40 1;
0 41 1;
0 42 1;
0 44 1;
0 45 1;
0 46 1;
0 47 1;
0 48 -0.333333333333333;
1 2 0.973684210526316;
1 3 1;
1 4 0.967948717948718;
1 5 0.97887323943662;
1 6 0.96875;
1 7 0.974137931034483;
1 8 0.982142857142857;
1 9 0.779761904761905;
1 10 0.730061349693252;
1 11 0.742331288343558;
1 29 0.980132450331126;
1 30 0.975460122699387;
1 31 0.868852459016393;
1 32 0.837349397590361;
1 36 0.981927710843373;
1 37 0.982035928143713;
1 38 0.975308641975309;
1 39 0.991735537190083;
1 40 0.961290322580645;
1 41 0.961783439490446;
1 42 0.931506849315068;
1 44 0.993827160493827;
1 45 0.980392156862745;
1 46 0.980132450331126;
1 47 0.981707317073171;
1 50 0.973913043478261;
1 51 0.981481481481482;
1 54 0.974683544303797;
1 57 0.974683544303797;
2 3 0.979591836734694;
2 4 0.969849246231156;
2 5 0.979591836734694;
2 6 0.975609756097561;
2 7 0.976047904191617;
2 8 0.980952380952381;
2 9 0.794258373205742;
2 10 0.724137931034483;
2 11 0.778325123152709;
2 29 0.968911917098446;
2 30 0.980295566502463;
2 31 0.865546218487395;
2 32 0.831730769230769;
2 36 0.980676328502415;
2 37 0.980861244019139;
2 38 0.980392156862745;
2 39 0.963414634146341;
2 40 0.948717948717949;
2 41 0.964824120603015;
2 42 0.926470588235294;
2 44 0.97029702970297;
2 45 0.979381443298969;
2 46 0.984536082474227;
2 47 0.980582524271845;
2 50 0.96078431372549;
2 51 0.986111111111111;
2 54 0.975609756097561;
2 57 0.984;
3 4 0.955555555555556;
3 5 1;
3 6 1;
3 7 1;
3 8 1;
3 9 0.875;
3 10 0.840909090909091;
3 11 0.63265306122449;
3 21 1;
3 29 1;
3 30 0.978723404255319;
3 31 0.777777777777778;
3 36 1;
3 37 1;
3 38 0.979166666666667;
3 39 0.957446808510638;
3 40 0.978260869565217;
3 41 1;
3 42 0.957446808510638;
3 44 1;
3 45 1;
3 46 1;
3 47 1;
