n = 85
taille = 1617
Mat = [0 1 0.852760736196319;
0 2 0.854054054054054;
0 3 0.883977900552486;
0 5 0.678362573099415;
0 6 0.836158192090395;
0 8 0.812154696132597;
0 9 0.852564102564103;
0 10 0.832432432432432;
0 11 0.832;
0 12 0.676136363636364;
0 13 0.72972972972973;
0 14 0.736263736263736;
0 15 0.745762711864407;
0 16 0.751633986928105;
0 17 0.727272727272727;
0 18 0.675;
0 19 0.676646706586826;
0 20 0.773722627737226;
0 21 0.640243902439024;
0 22 0.765027322404372;
0 23 0.721590909090909;
0 24 0.774436090225564;
0 26 0.752808988764045;
0 29 1;
0 31 0.62111801242236;
0 46 0.8125;
0 47 0.686746987951807;
0 49 0.722826086956522;
0 50 0.726708074534162;
0 56 0.797752808988764;
0 57 0.793103448275862;
0 58 0.766233766233766;
0 59 0.747311827956989;
0 62 0.776315789473684;
0 63 0.78;
0 64 -0.494505494505495;
0 66 0.787234042553192;
0 67 0.730337078651685;
0 70 0.817142857142857;
0 77 0.804511278195489;
0 78 0.688888888888889;
0 79 0.869565217391304;
0 81 0.837209302325581;
0 83 0.827160493827161;
1 2 0.873563218390805;
1 3 0.877906976744186;
1 5 0.647058823529412;
1 6 0.75;
1 8 0.736526946107784;
1 9 0.787096774193548;
1 10 0.748571428571429;
1 11 0.789473684210526;
1 12 0.63953488372093;
1 13 0.659090909090909;
1 14 0.656976744186046;
1 15 0.642857142857143;
1 16 0.686666666666667;
1 17 0.670103092783505;
1 18 0.632258064516129;
1 19 0.656050955414013;
1 20 0.744360902255639;
1 21 0.641975308641975;
1 22 0.69364161849711;
1 23 0.641176470588235;
1 24 0.740157480314961;
1 26 0.683673469387755;
1 46 0.726190476190476;
1 47 0.6625;
1 49 0.76969696969697;
1 50 0.694805194805195;
1 56 0.731958762886598;
1 57 0.722627737226277;
1 58 0.701149425287356;
1 59 0.685393258426966;
1 62 0.71264367816092;
1 63 0.72027972027972;
1 66 0.734939759036145;
1 67 0.686390532544379;
1 70 0.738095238095238;
1 77 0.754098360655738;
1 78 0.692307692307692;
1 79 0.875;
1 80 0.631578947368421;
1 81 0.736842105263158;
1 83 0.71830985915493;
2 3 0.911214953271028;
2 5 0.664921465968586;
2 6 0.770334928229665;
2 8 0.75;
2 9 0.784210526315789;
2 10 0.76605504587156;
2 11 0.790540540540541;
2 12 0.660287081339713;
2 13 0.697247706422018;
2 14 0.674418604651163;
2 15 0.685714285714286;
2 16 0.695652173913043;
2 17 0.721649484536082;
2 18 0.647368421052632;
2 19 0.701492537313433;
2 20 0.78698224852071;
2 21 0.647959183673469;
2 22 0.716279069767442;
2 23 0.669856459330144;
2 24 0.753012048192771;
2 26 0.760330578512397;
2 27 0.643518518518518;
2 29 0.636363636363636;
2 31 0.658031088082902;
2 42 0.658415841584158;
2 44 0.652631578947368;
2 46 0.752380952380952;
2 47 0.685;
2 49 0.794117647058823;
2 50 0.683937823834197;
2 55 0.668181818181818;
2 56 0.760330578512397;
2 57 0.731843575418994;
2 58 0.736363636363636;
2 59 0.704545454545455;
2 62 0.743119266055046;
2 63 0.748633879781421;
2 66 0.769230769230769;
2 67 0.679425837320574;
2 70 0.761904761904762;
2 77 0.791044776119403;
2 78 0.705882352941177;
2 79 0.828571428571429;
2 81 0.735632183908046;
2 83 0.719512195121951;
3 5 0.684210526315789;
3 6 0.747572815533981;
3 8 0.736585365853659;
3 9 0.774869109947644;
3 10 0.75462962962963;
3 11 0.761904761904762;
3 12 0.666666666666667;
3 13 0.699074074074074;
3 14 0.685446009389671;
3 15 0.695652173913043;
3 16 0.692307692307692;
3 17 0.68;
3 18 0.628272251308901;
3 19 0.703517587939699;
3 20 0.769230769230769;
3 21 0.625641025641026;
3 22 0.713615023474178;
3 23 0.6875;
3 24 0.792682926829268;
3 26 0.723577235772358;
3 29 0.696969696969697;
3 31 0.645833333333333;
3 44 0.632978723404255;
3 46 0.740384615384615;
3 47 0.686868686868687;
3 49 0.795;
3 50 0.7;
3 55 0.651376146788991;
3 56 0.723577235772358;
3 57 0.740112994350282;
3 58 0.693693693693694;
3 59 0.706422018348624;
3 62 0.7;
3 63 0.721311475409836;
3 64 -0.402061855670103;
3 66 0.724137931034483;
3 67 0.666666666666667;
3 70 0.748792270531401;
3 77 0.784615384615385;
3 78 0.709923664122137;
3 79 0.838235294117647;
3 81 0.761904761904762;
3 83 0.746835443037975;
4 5 0.942307692307692;
4 6 0.848484848484849;
4 7 0.814814814814815;
4 8 0.84375;
4 9 0.848484848484849;
4 10 0.846153846153846;
4 11 0.795918367346939;
4 12 0.772727272727273;
4 13 0.742424242424242;
4 14 0.757575757575758;
4 15 0.753846153846154;
4 16 0.86046511627907;
4 17 0.727272727272727;
4 18 0.766666666666667;
4 19 0.75;
4 20 0.746031746031746;
4 21 0.733333333333333;
4 22 0.770491803278688;
4 23 0.784615384615385;
4 46 0.833333333333333;
4 47 0.96969696969697;
4 50 0.95;
4 51 0.916666666666667;
4 56 0.848484848484849;
4 57 0.848484848484849;
4 58 0.818181818181818;
4 59 0.753846153846154;
4 62 0.818181818181818;
4 63 0.784615384615385;
4 64 -0.7;
4 66 0.769230769230769;
4 67 0.846153846153846;
4 70 0.821428571428571;
5 6 0.797814207650273;
5 7 0.788461538461538;
5 8 0.751351351351351;
5 9 0.87719298245614;
5 10 0.782383419689119;
5 11 0.8359375;
5 12 0.786885245901639;
5 13 0.766839378238342;
5 14 0.736842105263158;
5 15 0.745945945945946;
5 16 0.8;
5 17 0.802083333333333;
5 18 0.719298245614035;
5 19 0.771428571428571;
5 20 0.852348993288591;
5 21 0.760233918128655;
5 22 0.769633507853403;
5 23 0.738219895287958;
5 24 0.689655172413793;
5 46 0.768817204301075;
5 47 0.893258426966292;
5 49 0.709497206703911;
5 50 0.888235294117647;
5 56 0.85981308411215;
5 57 0.774193548387097;
5 58 0.852631578947368;
5 59 0.780612244897959;
5 62 0.852631578947368;
5 63 0.848101265822785;
5 64 -0.494736842105263;
5 66 0.838383838383838;
5 67 0.802139037433155;
5 70 0.771739130434783;
5 77 0.761904761904762;
5 78 0.845528455284553;
5 79 0.919354838709677;
5 80 0.734939759036145;
5 81 0.658227848101266;
5 82 0.735294117647059;
5 83 0.635135135135135;
6 7 0.984848484848485;
6 8 0.965346534653465;
6 9 0.994623655913978;
6 10 0.981042654028436;
6 11 0.979452054794521;
6 12 0.852216748768473;
6 13 0.877358490566038;
6 14 0.875598086124402;
6 15 0.892156862745098;
6 16 0.898876404494382;
6 17 0.927083333333333;
6 18 0.849462365591398;
6 19 0.83756345177665;
6 20 0.945121951219512;
6 21 0.839572192513369;
6 22 0.903846153846154;
6 23 0.871287128712871;
6 24 0.754601226993865;
6 46 0.975369458128079;
6 47 0.813471502590674;
6 49 0.705583756345178;
6 50 0.844919786096257;
6 51 0.720338983050847;
6 56 0.991596638655462;
6 57 0.971590909090909;
6 58 0.990654205607477;
6 59 0.887323943661972;
6 62 1;
6 63 0.938888888888889;
6 64 -0.557894736842105;
6 66 0.973684210526316;
6 67 0.906862745098039;
6 70 0.985148514851485;
6 77 0.872;
6 78 0.753968253968254;
6 79 1;
6 80 0.662790697674419;
6 81 0.975609756097561;
6 82 0.628571428571429;
6 83 0.974025974025974;
7 8 0.935483870967742;
7 9 0.985074626865672;
7 10 0.984615384615385;
7 11 0.980392156862745;
7 12 0.91044776119403;
7 13 0.907692307692308;
7 14 0.907692307692308;
7 15 0.90625;
7 16 0.976744186046512;
7 17 0.866666666666667;
7 18 0.966666666666667;
7 19 0.90625;
7 20 0.875;
7 21 0.916666666666667;
7 22 0.919354838709677;
7 23 0.923076923076923;
7 24 0.671875;
7 46 0.970149253731343;
7 47 0.850746268656716;
7 50 0.819672131147541;
7 51 0.842105263157895;
7 56 0.985074626865672;
7 57 0.970149253731343;
7 58 0.96969696969697;
7 59 0.909090909090909;
7 62 1;
7 63 0.909090909090909;
7 64 -0.888888888888889;
7 66 0.944444444444444;
7 67 1;
7 70 0.970149253731343;
7 72 0.714285714285714;
7 75 0.714285714285714;
7 76 1;
7 77 1;
7 78 1;
8 9 0.972527472527473;
8 10 0.971428571428571;
8 11 0.951388888888889;
8 12 0.825870646766169;
8 13 0.853080568720379;
8 14 0.864734299516908;
8 15 0.886138613861386;
8 16 0.852272727272727;
8 17 0.914893617021277;
8 18 0.827027027027027;
8 19 0.802083333333333;
8 20 0.925;
8 21 0.786096256684492;
8 22 0.893719806763285;
8 23 0.866336633663366;
8 24 0.723270440251572;
8 46 0.965346534653465;
8 47 0.797927461139896;
8 49 0.665;
8 50 0.824468085106383;
8 51 0.696428571428571;
8 56 0.957264957264957;
8 57 0.976608187134503;
8 58 0.962264150943396;
8 59 0.882075471698113;
8 62 0.961904761904762;
8 63 0.920454545454545;
8 64 -0.553191489361702;
8 66 0.9375;
8 67 0.881773399014778;
8 70 0.98019801980198;
8 77 0.876923076923077;
8 78 0.712121212121212;
8 79 1;
8 81 1;
8 83 1;
9 10 0.994818652849741;
9 11 0.979865771812081;
9 12 0.945355191256831;
9 13 0.94300518134715;
9 14 0.931578947368421;
9 15 0.940217391304348;
9 16 0.974683544303797;
9 17 0.931372549019608;
9 18 0.947674418604651;
9 19 0.943502824858757;
9 20 0.94578313253012;
9 21 0.941860465116279;
9 22 0.968421052631579;
9 23 0.935135135135135;
9 24 0.822695035460993;
9 46 0.989304812834225;
9 47 0.931818181818182;
9 49 0.823863636363636;
9 50 0.917647058823529;
9 51 0.797872340425532;
9 56 0.992063492063492;
9 57 0.993506493506494;
9 58 0.991228070175439;
9 59 0.953846153846154;
